CountryCode;Country;ItemCode;Item;Year;Area_ha;Flag;FlagDescription
27;Bulgaria;6620;Cropland;2015;3643200;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6620;Cropland;2016;3637000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6620;Cropland;2017;3637170;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6621;Arable land;2014;3486000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6621;Arable land;2015;3509700;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6621;Arable land;2016;3496000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6621;Arable land;2017;3489080;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6630;Land under temporary crops;2014;3306000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6630;Land under temporary crops;2015;3179800;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6630;Land under temporary crops;2016;3195000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6630;Land under temporary crops;2017;3211130;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6633;Land under temp, meadows and pastures;2014;88000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6633;Land under temp, meadows and pastures;2015;94700;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6633;Land under temp, meadows and pastures;2016;109000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6633;Land under temp, meadows and pastures;2017;117950;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6640;Land with temporary fallow;2014;92000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6640;Land with temporary fallow;2015;235200;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6640;Land with temporary fallow;2016;192000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6640;Land with temporary fallow;2017;160000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6650;Land under permanent crops;2014;127000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6650;Land under permanent crops;2015;133500;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6650;Land under permanent crops;2016;141000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6650;Land under permanent crops;2017;148090;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6655;Land under perm, meadows and pastures;2014;1364000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6655;Land under perm, meadows and pastures;2015;1368700;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6655;Land under perm, meadows and pastures;2016;1384000;Q;Official data reported on FAO Questionnaires from countries
