Country;Element;Item Code;Item;Year;Unit;Applied_fertilizer_cropland_kg_per_ha;Flag;data_quality
Ukraine;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;26.92;Fc;Calculated data
Ukraine;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;27.84;Fc;Calculated data
Ukraine;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;30.97;Fc;Calculated data
Ukraine;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;30.33;Fc;Calculated data
Ukraine;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;29.26;Fc;Calculated data
Ukraine;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;35.56;Fc;Calculated data
Austria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;16.52;Fc;Calculated data
Austria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;16.1;Fc;Calculated data
Austria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;20.42;Fc;Calculated data
Austria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;27.85;Fc;Calculated data
Austria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;29.43;Fc;Calculated data
Austria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;28.13;Fc;Calculated data
Austria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;28.18;Fc;Calculated data
Bulgaria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;8.4;Fc;Calculated data
Bulgaria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;14.3;Fc;Calculated data
Bulgaria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;14.1;Fc;Calculated data
Bulgaria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;14.42;Fc;Calculated data
Bulgaria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;15.02;Fc;Calculated data
Bulgaria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;16.04;Fc;Calculated data
Bulgaria;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;22.71;Fc;Calculated data
Croatia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;103.45;Fc;Calculated data
Croatia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;100.52;Fc;Calculated data
Croatia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;33.31;Fc;Calculated data
Croatia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;30.21;Fc;Calculated data
Croatia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;43.39;Fc;Calculated data
Croatia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;32.13;Fc;Calculated data
Croatia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;14.03;Fc;Calculated data
Czechia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;12.31;Fc;Calculated data
Czechia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;13.27;Fc;Calculated data
Czechia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;12.72;Fc;Calculated data
Czechia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;16.29;Fc;Calculated data
Czechia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;16.56;Fc;Calculated data
Czechia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;19.17;Fc;Calculated data
Czechia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;18.68;Fc;Calculated data
Germany;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;23.77;Fc;Calculated data
Germany;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;20.46;Fc;Calculated data
Germany;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;23.61;Fc;Calculated data
Germany;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;23.52;Fc;Calculated data
Germany;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;24.94;Fc;Calculated data
Germany;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;23.87;Fc;Calculated data
Germany;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;19.32;Fc;Calculated data
Hungary;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;8.97;Fc;Calculated data
Hungary;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;10.99;Fc;Calculated data
Hungary;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;12.87;Fc;Calculated data
Hungary;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;16.93;Fc;Calculated data
Hungary;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;18.3;Fc;Calculated data
Hungary;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;18.07;Fc;Calculated data
Hungary;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;20.37;Fc;Calculated data
Montenegro;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;3.12;Fc;Calculated data
Montenegro;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;2.65;Fc;Calculated data
Montenegro;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;2.5;Fc;Calculated data
Montenegro;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;47.26;Fc;Calculated data
Montenegro;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;40.14;Fc;Calculated data
Montenegro;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;36.81;Fc;Calculated data
Montenegro;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;44.35;Fc;Calculated data
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;36.4;Fc;Calculated data
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;32.28;Fc;Calculated data
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;33.04;Fc;Calculated data
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;30.44;Fc;Calculated data
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;26.86;Fc;Calculated data
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;28.9;Fc;Calculated data
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;28.86;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;1.13;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;1.39;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;2.66;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;3.93;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;8.16;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;3.88;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;4.29;Fc;Calculated data
