EmissionsSource;Area;EmissionsType_code;EmissionsType;EmissionsProcess_code;EmissionsProcess;Year;Unit;Emissions_gigagrams_per_year;Emissions_ton_per_year;Description
Agriculture Total;Austria;7231;Emissions (CO2eq);5061;Synthetic Fertilizers;2014;gigagrams;746.899;746899;Calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5061;Synthetic Fertilizers;2014;gigagrams;746.899;746899;Calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5061;Synthetic Fertilizers;2014;gigagrams;2.4094;2409.4;Calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5061;Synthetic Fertilizers;2015;gigagrams;777.3068;777306.8;Calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5061;Synthetic Fertilizers;2015;gigagrams;777.3068;777306.8;Calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5061;Synthetic Fertilizers;2015;gigagrams;2.5074;2507.4;Calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5061;Synthetic Fertilizers;2016;gigagrams;760.6151;760615.1;Calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5061;Synthetic Fertilizers;2016;gigagrams;760.6151;760615.1;Calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5061;Synthetic Fertilizers;2016;gigagrams;2.4536;2453.6;Calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5061;Synthetic Fertilizers;2017;gigagrams;738.069;738069;Calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5061;Synthetic Fertilizers;2017;gigagrams;738.069;738069;Calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5061;Synthetic Fertilizers;2017;gigagrams;2.3809;2380.9;Calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5062;Manure applied to Soils;2012;gigagrams;691.9531;691953.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2012;gigagrams;691.9531;691953.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5062;Manure applied to Soils;2012;gigagrams;2.2321;2232.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5062;Manure applied to Soils;2013;gigagrams;688.6771;688677.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2013;gigagrams;688.6771;688677.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5062;Manure applied to Soils;2013;gigagrams;2.2215;2221.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5062;Manure applied to Soils;2014;gigagrams;685.6096;685609.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2014;gigagrams;685.6096;685609.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5062;Manure applied to Soils;2014;gigagrams;2.2116;2211.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5062;Manure applied to Soils;2015;gigagrams;685.9794;685979.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2015;gigagrams;685.9794;685979.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5062;Manure applied to Soils;2015;gigagrams;2.2128;2212.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5062;Manure applied to Soils;2016;gigagrams;685.0466;685046.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2016;gigagrams;685.0466;685046.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5062;Manure applied to Soils;2016;gigagrams;2.2098;2209.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5062;Manure applied to Soils;2017;gigagrams;683.4976;683497.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2017;gigagrams;683.4976;683497.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5062;Manure applied to Soils;2017;gigagrams;2.2048;2204.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5063;Manure left on Pasture;2012;gigagrams;472.2178;472217.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5063;Manure left on Pasture;2012;gigagrams;472.2178;472217.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5063;Manure left on Pasture;2012;gigagrams;1.5233;1523.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5063;Manure left on Pasture;2013;gigagrams;468.6069;468606.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5063;Manure left on Pasture;2013;gigagrams;468.6069;468606.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5063;Manure left on Pasture;2013;gigagrams;1.5116;1511.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5063;Manure left on Pasture;2014;gigagrams;468.9327;468932.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5063;Manure left on Pasture;2014;gigagrams;468.9327;468932.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5063;Manure left on Pasture;2014;gigagrams;1.5127;1512.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5063;Manure left on Pasture;2015;gigagrams;469.1696;469169.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5063;Manure left on Pasture;2015;gigagrams;469.1696;469169.6;Aggregate, may include official, semi-official, estimated or calculated data
