EmissionsSource;Area;EmissionsType_code;EmissionsType;EmissionsProcess_code;EmissionsProcess;Year;Unit;Emissions_gigagrams_per_year;Emissions_ton_per_year;Description
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5061;Synthetic Fertilizers;2015;gigagrams;1.4617;1461.7;Calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5061;Synthetic Fertilizers;2016;gigagrams;596.6543;596654.3;Calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5061;Synthetic Fertilizers;2016;gigagrams;596.6543;596654.3;Calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5061;Synthetic Fertilizers;2016;gigagrams;1.9247;1924.7;Calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5061;Synthetic Fertilizers;2017;gigagrams;631.9483;631948.3;Calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5061;Synthetic Fertilizers;2017;gigagrams;631.9483;631948.3;Calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5061;Synthetic Fertilizers;2017;gigagrams;2.0385;2038.5;Calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5062;Manure applied to Soils;2012;gigagrams;173.318;173318;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2012;gigagrams;173.318;173318;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5062;Manure applied to Soils;2012;gigagrams;0.5591;559.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5062;Manure applied to Soils;2013;gigagrams;182.7052;182705.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2013;gigagrams;182.7052;182705.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5062;Manure applied to Soils;2013;gigagrams;0.5894;589.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5062;Manure applied to Soils;2014;gigagrams;182.0741;182074.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2014;gigagrams;182.0741;182074.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5062;Manure applied to Soils;2014;gigagrams;0.5873;587.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5062;Manure applied to Soils;2015;gigagrams;193.1557;193155.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2015;gigagrams;193.1557;193155.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5062;Manure applied to Soils;2015;gigagrams;0.6231;623.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5062;Manure applied to Soils;2016;gigagrams;193.628;193628;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2016;gigagrams;193.628;193628;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5062;Manure applied to Soils;2016;gigagrams;0.6246;624.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5062;Manure applied to Soils;2017;gigagrams;194.384;194384;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5062;Manure applied to Soils;2017;gigagrams;194.384;194384;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5062;Manure applied to Soils;2017;gigagrams;0.627;627;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5063;Manure left on Pasture;2012;gigagrams;114.5338;114533.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5063;Manure left on Pasture;2012;gigagrams;114.5338;114533.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5063;Manure left on Pasture;2012;gigagrams;0.3695;369.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5063;Manure left on Pasture;2013;gigagrams;111.6484;111648.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5063;Manure left on Pasture;2013;gigagrams;111.6484;111648.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5063;Manure left on Pasture;2013;gigagrams;0.3602;360.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5063;Manure left on Pasture;2014;gigagrams;115.5325;115532.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5063;Manure left on Pasture;2014;gigagrams;115.5325;115532.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5063;Manure left on Pasture;2014;gigagrams;0.3727;372.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5063;Manure left on Pasture;2015;gigagrams;98.2752;98275.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5063;Manure left on Pasture;2015;gigagrams;98.2752;98275.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5063;Manure left on Pasture;2015;gigagrams;0.317;317;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5063;Manure left on Pasture;2016;gigagrams;96.1459;96145.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5063;Manure left on Pasture;2016;gigagrams;96.1459;96145.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5063;Manure left on Pasture;2016;gigagrams;0.3101;310.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5063;Manure left on Pasture;2017;gigagrams;112.6164;112616.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5063;Manure left on Pasture;2017;gigagrams;112.6164;112616.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5063;Manure left on Pasture;2017;gigagrams;0.3633;363.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5064;Crop Residues;2012;gigagrams;139.7703;139770.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5064;Crop Residues;2012;gigagrams;139.7703;139770.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5064;Crop Residues;2012;gigagrams;0.4509;450.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5064;Crop Residues;2013;gigagrams;182.7172;182717.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5064;Crop Residues;2013;gigagrams;182.7172;182717.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5064;Crop Residues;2013;gigagrams;0.5894;589.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5064;Crop Residues;2014;gigagrams;198.4198;198419.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5064;Crop Residues;2014;gigagrams;198.4198;198419.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5064;Crop Residues;2014;gigagrams;0.6401;640.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5064;Crop Residues;2015;gigagrams;158.8829;158882.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5064;Crop Residues;2015;gigagrams;158.8829;158882.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5064;Crop Residues;2015;gigagrams;0.5125;512.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5064;Crop Residues;2016;gigagrams;201.3886;201388.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5064;Crop Residues;2016;gigagrams;201.3886;201388.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5064;Crop Residues;2016;gigagrams;0.6496;649.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5064;Crop Residues;2017;gigagrams;214.4961;214496.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5064;Crop Residues;2017;gigagrams;214.4961;214496.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5064;Crop Residues;2017;gigagrams;0.6919;691.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);6759;Cultivation of Organic Soils;2012;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;6759;Cultivation of Organic Soils;2012;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);6759;Cultivation of Organic Soils;2012;gigagrams;0.0729;72.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);6759;Cultivation of Organic Soils;2013;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;6759;Cultivation of Organic Soils;2013;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);6759;Cultivation of Organic Soils;2013;gigagrams;0.0729;72.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);6759;Cultivation of Organic Soils;2014;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;6759;Cultivation of Organic Soils;2014;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);6759;Cultivation of Organic Soils;2014;gigagrams;0.0729;72.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);6759;Cultivation of Organic Soils;2015;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;6759;Cultivation of Organic Soils;2015;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);6759;Cultivation of Organic Soils;2015;gigagrams;0.0729;72.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);6759;Cultivation of Organic Soils;2016;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;6759;Cultivation of Organic Soils;2016;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);6759;Cultivation of Organic Soils;2016;gigagrams;0.0729;72.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);6759;Cultivation of Organic Soils;2017;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;6759;Cultivation of Organic Soils;2017;gigagrams;22.5945;22594.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);6759;Cultivation of Organic Soils;2017;gigagrams;0.0729;72.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5066;Burning - Crop residues;2012;gigagrams;1.5995;1599.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5066;Burning - Crop residues;2012;gigagrams;46.4436;46443.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5066;Burning - Crop residues;2012;gigagrams;33.5887;33588.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5066;Burning - Crop residues;2012;gigagrams;12.8549;12854.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5066;Burning - Crop residues;2012;gigagrams;0.0415;41.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5066;Burning - Crop residues;2013;gigagrams;1.6298;1629.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5066;Burning - Crop residues;2013;gigagrams;47.324;47324;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5066;Burning - Crop residues;2013;gigagrams;34.2254;34225.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5066;Burning - Crop residues;2013;gigagrams;13.0986;13098.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5066;Burning - Crop residues;2013;gigagrams;0.0423;42.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5066;Burning - Crop residues;2014;gigagrams;1.6305;1630.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5066;Burning - Crop residues;2014;gigagrams;47.3462;47346.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5066;Burning - Crop residues;2014;gigagrams;34.2414;34241.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5066;Burning - Crop residues;2014;gigagrams;13.1047;13104.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5066;Burning - Crop residues;2014;gigagrams;0.0423;42.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5066;Burning - Crop residues;2015;gigagrams;1.6914;1691.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5066;Burning - Crop residues;2015;gigagrams;49.112;49112;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5066;Burning - Crop residues;2015;gigagrams;35.5185;35518.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5066;Burning - Crop residues;2015;gigagrams;13.5935;13593.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5066;Burning - Crop residues;2015;gigagrams;0.0438;43.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5066;Burning - Crop residues;2016;gigagrams;1.6587;1658.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5066;Burning - Crop residues;2016;gigagrams;48.1625;48162.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5066;Burning - Crop residues;2016;gigagrams;34.8318;34831.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5066;Burning - Crop residues;2016;gigagrams;13.3307;13330.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5066;Burning - Crop residues;2016;gigagrams;0.043;43;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5066;Burning - Crop residues;2017;gigagrams;1.6616;1661.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5066;Burning - Crop residues;2017;gigagrams;48.2474;48247.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5066;Burning - Crop residues;2017;gigagrams;34.8932;34893.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5066;Burning - Crop residues;2017;gigagrams;13.3542;13354.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5066;Burning - Crop residues;2017;gigagrams;0.0431;43.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5067;Burning - Savanna;2012;gigagrams;0;0;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5067;Burning - Savanna;2012;gigagrams;0;0;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5067;Burning - Savanna;2012;gigagrams;0;0;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5067;Burning - Savanna;2012;gigagrams;0;0;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5067;Burning - Savanna;2012;gigagrams;0;0;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5067;Burning - Savanna;2013;gigagrams;0.0006;0.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5067;Burning - Savanna;2013;gigagrams;0.031;31;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5067;Burning - Savanna;2013;gigagrams;0.0136;13.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5067;Burning - Savanna;2013;gigagrams;0.0174;17.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5067;Burning - Savanna;2013;gigagrams;0.0001;0.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5067;Burning - Savanna;2014;gigagrams;0.0014;1.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5067;Burning - Savanna;2014;gigagrams;0.0667;66.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5067;Burning - Savanna;2014;gigagrams;0.0289;28.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5067;Burning - Savanna;2014;gigagrams;0.0378;37.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5067;Burning - Savanna;2014;gigagrams;0.0001;0.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5067;Burning - Savanna;2015;gigagrams;0.0018;1.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5067;Burning - Savanna;2015;gigagrams;0.0863;86.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5067;Burning - Savanna;2015;gigagrams;0.0373;37.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5067;Burning - Savanna;2015;gigagrams;0.049;49;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5067;Burning - Savanna;2015;gigagrams;0.0002;0.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5067;Burning - Savanna;2016;gigagrams;0.0004;0.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5067;Burning - Savanna;2016;gigagrams;0.0196;19.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5067;Burning - Savanna;2016;gigagrams;0.0085;8.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5067;Burning - Savanna;2016;gigagrams;0.0112;11.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5067;Burning - Savanna;2016;gigagrams;0;0;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);5067;Burning - Savanna;2017;gigagrams;0.0012;1.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);5067;Burning - Savanna;2017;gigagrams;0.0606;60.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;5067;Burning - Savanna;2017;gigagrams;0.0261;26.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;5067;Burning - Savanna;2017;gigagrams;0.0345;34.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);5067;Burning - Savanna;2017;gigagrams;0.0001;0.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);1711;Agriculture total;2012;gigagrams;32.4741;32474.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);1711;Agriculture total;2012;gigagrams;1409.9867;1409986.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;1711;Agriculture total;2012;gigagrams;681.9551;681955.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;1711;Agriculture total;2012;gigagrams;728.0316;728031.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);1711;Agriculture total;2012;gigagrams;2.3485;2348.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);1711;Agriculture total;2013;gigagrams;30.9643;30964.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);1711;Agriculture total;2013;gigagrams;1475.1468;1475146.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;1711;Agriculture total;2013;gigagrams;650.2508;650250.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;1711;Agriculture total;2013;gigagrams;824.896;824896;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);1711;Agriculture total;2013;gigagrams;2.661;2661;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);1711;Agriculture total;2014;gigagrams;31.0614;31061.4;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);1711;Agriculture total;2014;gigagrams;1535.5641;1535564.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;1711;Agriculture total;2014;gigagrams;652.2889;652288.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;1711;Agriculture total;2014;gigagrams;883.2752;883275.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);1711;Agriculture total;2014;gigagrams;2.8493;2849.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);1711;Agriculture total;2015;gigagrams;30.0502;30050.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);1711;Agriculture total;2015;gigagrams;1668.0359;1668035.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7244;Emissions (CO2eq) from CH4;1711;Agriculture total;2015;gigagrams;631.0542;631054.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7243;Emissions (CO2eq) from N2O;1711;Agriculture total;2015;gigagrams;1036.9817;1036981.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7230;Emissions (N2O);1711;Agriculture total;2015;gigagrams;3.3451;3345.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7225;Emissions (CH4);1711;Agriculture total;2016;gigagrams;29.31;29310;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Republic of Moldova;7231;Emissions (CO2eq);1711;Agriculture total;2016;gigagrams;1835.833;1835833;Aggregate, may include official, semi-official, estimated or calculated data
