Animals;Animal_description;Unit;NUTS2;THS_HD_2007;THS_HD_2008;THS_HD_2009;THS_HD_2010;THS_HD_2011;THS_HD_2012;THS_HD_2013;THS_HD_2014;THS_HD_2015;THS_HD_2016;THS_HD_2017;THS_HD_2018;data_quality_2007;data_quality_2008;data_quality_2009;data_quality_2010;data_quality_2011;data_quality_2012;data_quality_2013;data_quality_2014;data_quality_2015;data_quality_2016;data_quality_2017;data_quality_2018
A2300F;dairy cows;THS_HD;PL42;34.9;35.24;30.05;29.25;33.28;28.9;27.55;26.54;25.41;22.7;20.3;23.5;;;;;;;;;;;;
A3100;pigs;THS_HD;PL42;507.2;394.53;349.25;346.86;357.15;294.73;270.63;290.85;279.44;283;279.4;268.9;;;;;;;;;;;;
A4100;sheep;THS_HD;PL42;6.9;5.3;5.11;5.55;5.86;6.41;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL42;NaN;3.3;2.21;2.31;2.66;2.77;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL43;74.6;68.9;58.75;57.22;64.88;65.54;70.59;75.34;72.74;73;77.6;81.2;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL43;21.9;20.89;19;17.1;19.23;18.39;16.83;17.59;15.61;13.1;14.2;14;;;;;;;;;;;;
A3100;pigs;THS_HD;PL43;197.5;162.54;171.75;166.75;190.43;139.62;129.17;163.78;144.74;153.2;148.6;148.2;;;;;;;;;;;;
A4100;sheep;THS_HD;PL43;4;4.16;4.63;4.24;4.16;4.24;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL43;NaN;2.72;2.73;2.86;1.87;3.04;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL51;110.2;105.9;98.93;92.69;90.78;92.7;93.93;102.76;104.52;102.5;100.3;100.8;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL51;44.1;42.84;37.21;35.24;33.68;33.18;31.08;33.61;28.92;26.6;26;25.4;;;;;;;;;;;;
A3100;pigs;THS_HD;PL51;416.9;307.77;326.42;371.54;252.94;221.5;200.8;188.83;199.99;196;193.8;229.9;;;;;;;;;;;;
A4100;sheep;THS_HD;PL51;12;10.22;9.37;8;8.74;8.95;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL51;NaN;7.77;7.73;7.67;5.28;6.52;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL52;126.9;120.67;121.48;114.31;118.44;113.55;110.06;109.23;116.81;122.9;122.9;126.6;;;;;;;revised;;;;;
