Animals;Animal_description;Unit;NUTS2;THS_HD_2007;THS_HD_2008;THS_HD_2009;THS_HD_2010;THS_HD_2011;THS_HD_2012;THS_HD_2013;THS_HD_2014;THS_HD_2015;THS_HD_2016;THS_HD_2017;THS_HD_2018;data_quality_2007;data_quality_2008;data_quality_2009;data_quality_2010;data_quality_2011;data_quality_2012;data_quality_2013;data_quality_2014;data_quality_2015;data_quality_2016;data_quality_2017;data_quality_2018
A4200;goats;THS_HD;SI02;12.3;10.62;14.24;NaN;12.84;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;SI03;333.83;324.09;326.4;324.92;320.07;318.18;318.4;324.03;336.54;339.93;333.99;332.63;;;;;;;;;provisional;;;
A2300F;dairy cows;THS_HD;SI03;83.14;79.17;77.4;75.23;76.26;77.97;74.79;73.65;78.07;73.65;75.97;70.28;;;;;;;;;provisional;;;
A3100;pigs;THS_HD;SI03;457.38;375.14;356.41;337.76;295.37;249.85;239.51;238.2;228.62;223.81;216;218.66;;;;;;;;;provisional;;;
A2000;bovine animals;THS_HD;SI04;145.75;145.9;146.47;145.23;142.23;141.88;142.18;144.23;147.54;148.67;145.62;144.18;;;;;;;;;provisional;;;
A2300F;dairy cows;THS_HD;SI04;33.25;34.23;35.7;34.24;32.81;33.05;34.78;34.21;34.76;34.19;32.85;32.43;;;;;;;;;provisional;;;
A3100;pigs;THS_HD;SI04;85.21;56.87;58.82;57.83;51.95;46.25;48.84;43.48;42.76;41.93;41.24;40.47;;;;;;;;;provisional;;;
A2000;bovine animals;THS_HD;SK01;15.3;14.4;13.4;13.18;13.77;13.62;13.34;13.95;14.23;14.77;14.28;13.67;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SK01;6.2;6.1;5.7;5.56;5.89;5.25;5.09;5.12;5.14;5.2;4.9;4.77;;;;;;;;;;;;
A3100;pigs;THS_HD;SK01;21.8;26.9;23;22.48;22.11;21.74;24.72;24.61;24.18;23.36;28.5;27.89;;;;;;;;;;;;
A4100;sheep;THS_HD;SK01;0.5;0.4;0.4;0.46;0.64;0.84;0.84;0.97;0.82;0.91;1.4;1.27;;;;;;;;;;;;
A4200;goats;THS_HD;SK01;0.5;0.5;0.5;0.58;0.58;0.55;0.79;0.71;0.67;0.58;0.59;0.67;;;;;;;;;;;;
A2000;bovine animals;THS_HD;SK02;212.3;201.1;192.2;188.05;187.25;187.61;184.1;176.86;169.5;158.92;154.48;152.09;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SK02;79.5;76.8;71.5;71.04;70.37;68.06;66.19;63.95;60.85;56.37;54.98;53.71;;;;;;;;;;;;
A3100;pigs;THS_HD;SK02;619.1;482.9;474.8;442.67;369.65;420.85;427.14;433.22;433.37;398.11;428.04;435.82;;;;;;;;;;;;
A4100;sheep;THS_HD;SK02;42.7;44.1;44.3;45.62;45.73;48.43;47.78;48.72;49.29;45.92;45.66;44.68;;;;;;;;;;;;
A4200;goats;THS_HD;SK02;10.1;10;9.6;9.52;9.2;9.37;9.41;9.53;9.44;9.5;9.61;9.15;;;;;;;;;;;;
A2000;bovine animals;THS_HD;SK03;144.2;145.2;141.4;139.91;138.47;141.98;142.06;145.54;143.28;140.81;139.99;141.23;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SK03;54.5;52.6;49.2;48.05;45.27;44.53;42.79;43.7;42.69;41.72;40.88;40.27;;;;;;;;;;;;
A3100;pigs;THS_HD;SK03;146.5;104.7;108.5;103.57;89.72;87.49;82.04;82.48;83.14;81.94;79.66;83.07;;;;;;;;;;;;
A4100;sheep;THS_HD;SK03;189.3;199.7;208.2;218.74;219.4;228.65;223.28;220.26;215.1;205.78;200.81;194.8;;;;;;;;;;;;
A4200;goats;THS_HD;SK03;15.6;15.8;14.7;14.5;14.32;14.52;15.09;15.39;16.26;16.15;16.68;16.32;;;;;;;;;;;;
A2000;bovine animals;THS_HD;SK04;130;127.6;125;125.98;123.88;127.87;128.33;129.19;130.57;131.61;131.08;131.87;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SK04;40;38.3;36.1;34.61;32.57;31.95;30.81;30.31;30.55;29.32;29.1;29.12;;;;;;;;;;;;
A3100;pigs;THS_HD;SK04;164.6;133.9;134.6;118.54;98.91;101.36;103.27;101.52;92.43;82.4;78.18;80.25;;;;;;;;;;;;
A4100;sheep;THS_HD;SK04;114.6;117.4;124;129.35;128.15;131.66;128.01;121.21;116.52;116.29;117.46;110.37;;;;;;;;;;;;
A4200;goats;THS_HD;SK04;11.6;10.8;10.8;10.69;9.95;10.38;10.17;9.55;9.96;10.12;10.18;10.77;;;;;;;;;;;;
A2000;bovine animals;THS_HD;UKN0;1570.1;1.58;1554;1569;1573;1597;1554;1564;1610;1625;1627;1586;;;;;;;;;;;provisional;provisional
A2300F;dairy cows;THS_HD;UKN0;288.6;288;277;278;281;278;282;306;314;312;311;307;;;;;;;;;;;provisional;provisional
A3100;pigs;THS_HD;UKN0;413.3;435;429;431;437;449;455;497;533;535;577;616;;;;;;;;;;;provisional;provisional
A4100;sheep;THS_HD;UKN0;1271.1;1251;1274;1239;1305;1338;1233;1293;1318;1363;1402;1363;;;;;;;;;;;provisional;provisional
A4200;goats;THS_HD;UKN0;NaN;NaN;NaN;NaN;NaN;NaN;0;3;4;4;4;4;;;;;;;;;;;provisional;provisional
